epoch,lr,train_loss,val_loss,val_accuracy,val_dice,val_precision,val_recall,val_iou,val_mean_iou,epoch_time_s
1,0.0001,0.8957580014825386,0.7838240347656549,0.6510120738611126,0.15596245487572005,0.10487894210458229,0.8635451311749042,0.10004260747771719,0.3733578338370896,88.09959983825684
2,0.0001,0.6476518493605283,0.5947117747045031,0.7648921817898636,0.21474816819389483,0.15854338651333105,0.8808964821660076,0.1484331209816919,0.45507440625434137,88.34818983078003
3,0.0001,0.47279602375708746,0.4839514665354311,0.9211931600163533,0.351194298068901,0.2753473175287138,0.8206370405325614,0.24624395986108208,0.5831496320066135,89.66405916213989
4,0.0001,0.41248705399226726,0.4433301102881338,0.9587773905134909,0.4698906337544959,0.40637835430393826,0.8024807703719075,0.3462265740874012,0.6522264807541732,88.61521768569946
5,0.0001,0.39022020617140396,0.4458840781567143,0.9840155267058152,0.6338381197688499,0.5661986936195458,0.7875456456975756,0.4864668104929111,0.7351306758779886,88.69417262077332
6,0.0001,0.2695302423441185,0.3750904860839345,0.9917868081587077,0.6845713590552596,0.9112656467951313,0.5729926220416148,0.5483329168717549,0.7700218767714193,88.9169671535492
7,0.0001,0.20722131130484261,0.2715829984814513,0.99214766861173,0.7654528808827177,0.7667420842644112,0.7811200871947425,0.637158868359816,0.8146003120221635,88.77604484558105
8,0.0001,0.1870957546379466,0.26264022923762503,0.9930833098137859,0.7765520742954325,0.8380651561639797,0.739469510584085,0.6523434854424114,0.8226688368831073,89.73304748535156
9,0.0001,0.16694592374156625,0.28206916026819767,0.9931007484298574,0.7592540457746557,0.8714153400730784,0.6994757756212406,0.6339723027193078,0.8134965779492125,87.85584592819214
10,0.0001,0.15641446651671898,0.24688495218364243,0.9933210595823269,0.7901427132663096,0.8250482098344236,0.7756338050170423,0.6698458892116887,0.8315381625997377,89.17584180831909
11,0.0001,0.14615489367303724,0.25317750179689696,0.9922678068048353,0.7695658176185133,0.7471230222766415,0.8186199121867641,0.6410351917446414,0.8165968044433443,89.04739427566528
12,0.0001,0.13599667883057726,0.2412948865516513,0.9933211091238501,0.7863454624214616,0.8067531457734339,0.7862650539519829,0.6644353513362954,0.828833517520332,88.54238033294678
13,0.0001,0.1298623509780762,0.251008839389078,0.9933638634581385,0.7819782367942648,0.8368308047989802,0.7567648327621821,0.6604112228613007,0.8268442559766491,88.55148839950562
14,0.0001,0.12125167471230981,0.2404309534559063,0.9936002260640378,0.7951967457305109,0.831255866727017,0.7790601773324969,0.6756882849145732,0.8346004641258573,88.76933169364929
15,0.0001,0.11840883965762157,0.244047608250886,0.9931099631531226,0.7855752590576736,0.7873599936259938,0.8051307977166843,0.6617497080077605,0.8273821885095317,88.76542735099792
16,0.0001,0.11157603983609181,0.24613680675917982,0.9926923776563454,0.7821340118195628,0.7640113783476774,0.8218513819294747,0.6562234500923899,0.8244046187689688,88.85463094711304
17,0.0001,0.10254901111212456,0.23497847131654329,0.9936766686339188,0.796282596663447,0.8329407936118158,0.7833605372385041,0.6765614227342759,0.8350759801439654,88.91942381858826
18,0.0001,0.10004785003786683,0.23441267870610055,0.9939631177195,0.8012232590133913,0.8527309117721861,0.7739224253924545,0.6844282188761865,0.8391550266491652,89.15791487693787
19,0.0001,0.09687058551910134,0.23231826888190377,0.993887566897032,0.7999327158909174,0.8391792133640624,0.7820809726921539,0.6818076785920206,0.8378063836073607,88.41001415252686
20,0.0001,0.09396546672494387,0.23091713977015876,0.9938811760405739,0.8015259156675009,0.8499897390199813,0.7771183839225302,0.6845262158623273,0.8391621675365347,88.44931435585022
21,0.0001,0.09076849841587083,0.22814963066499996,0.9939631672610229,0.8020074308232502,0.8570459114703579,0.7739913022043138,0.683938500524292,0.8389100373887685,87.7358992099762
22,0.0001,0.08659780587790147,0.23085605903388629,0.993994180254377,0.801460448873453,0.8497271436654366,0.7802500729879823,0.6845394538009313,0.8392267663666256,89.08668899536133
23,0.0001,0.08060059621821986,0.22755963584176855,0.9941112468730605,0.8016125905468467,0.8754571418811133,0.7582176084460598,0.6859111777538314,0.8399729206199904,88.82659888267517
24,0.0001,0.08027677975476048,0.22910440084980985,0.993969459034435,0.7967080537287085,0.8551135848056434,0.7685592697857605,0.6782031846624996,0.8360467999645067,88.99418330192566
25,0.0001,0.07820374076356043,0.22508649966296027,0.9937812507888237,0.801172364484555,0.8306217828510397,0.7916054534865272,0.6845902411418185,0.8391432159037158,88.62436008453369
26,0.0001,0.07786021142635706,0.23025750101002213,0.9938403538256793,0.7968670552228705,0.8494995600821598,0.77042990790106,0.6783860598806941,0.836072560673742,88.7034604549408
27,0.0001,0.07549586117873171,0.2326336740668303,0.9939693599513891,0.7958738474334079,0.8737237321113407,0.7541081345222679,0.6785017656108286,0.8361968978744747,88.55506658554077
28,0.0001,0.07012402180836405,0.23501048368566177,0.9940740411893405,0.7996723890724109,0.8644863397539162,0.76678918159357,0.6827954201903361,0.8383958989219855,87.86784744262695
29,0.0001,0.0735439907310663,0.24366548170451247,0.9937839755725851,0.7896311691914959,0.8572070305784936,0.7547781710137854,0.672763656879848,0.8332346224156274,88.06951332092285
30,0.0001,0.07028719051828924,0.22620323125053854,0.9941416158266169,0.8069411628940837,0.8632084401685005,0.7782008187523866,0.6932454014654889,0.8436543229196415,88.32289743423462
31,0.0001,0.06495906073053966,0.22445978136623607,0.9943554865811058,0.8128744556003982,0.8640407310129863,0.7900645884130608,0.6993197595126837,0.8467990445195175,89.0536630153656
32,0.0001,0.06337840212792893,0.24282706134459553,0.9941312121068016,0.7970933587856087,0.8961041516176305,0.7392707084760585,0.6803025741751778,0.8371796367263655,89.26747393608093
33,0.0001,0.06315055632279816,0.23914913609136942,0.9941657425482837,0.8027622962546025,0.8813895212238905,0.7571020751300563,0.6869251906459666,0.8405071682341223,87.80410718917847
34,0.0001,0.06296755821161588,0.23537276305404364,0.994069186120093,0.7973109949721603,0.867933005875815,0.7603693735989111,0.6809807105935937,0.8374868491250048,87.89078736305237
35,0.0001,0.061456782637902024,0.22710718711217245,0.99427101828451,0.8044614613280997,0.8750913532375283,0.7667138361477246,0.6907475370322869,0.8424716009614109,88.41977572441101
36,0.0001,0.06213011987323512,0.22731128783007853,0.99421166754004,0.8035759975775516,0.8650348182429256,0.7718399346585153,0.6878265968402949,0.8409809179468103,88.7790036201477
37,1e-05,0.05826275563205448,0.2294753618489683,0.994144340610378,0.8036101868503571,0.8577715308151448,0.7797910217292878,0.6881315909917508,0.8410984215985267,88.60992503166199
38,1e-05,0.05337690493884038,0.22379110217873566,0.9943189744787062,0.8076986716683872,0.8789524890683217,0.7682357488002374,0.693620509746238,0.8439320920621779,88.79028511047363
39,1e-05,0.05096648834613307,0.23171380532333274,0.9942133024102965,0.8008272845160646,0.8804424849601836,0.7571381570034196,0.6857178563471986,0.8399283454272193,89.07026314735413
40,1e-05,0.049045116098594944,0.2293957760131437,0.9942074565105907,0.8013310596937325,0.874737889651723,0.7619895694868295,0.6861403274975381,0.8401362295124497,88.81820583343506
41,1e-05,0.04786740980923435,0.2289650175306532,0.9942412438292292,0.8026263033120216,0.8776598139907176,0.7617278844031092,0.6875174389986145,0.8408418517404995,86.1936993598938
42,1e-05,0.046736643432013704,0.2269108521392922,0.9942883082760124,0.804508138972882,0.8827393831413223,0.7614789067315887,0.6900419239531386,0.8421279828178349,54.67281126976013
43,1e-05,0.04604860357345448,0.2242886151363647,0.9943215010963756,0.8078142528445393,0.8760931841561013,0.770011409669627,0.6936452078358364,0.8439456414513588,54.51965355873108
44,1.0000000000000002e-06,0.04483540388600055,0.22894687122768825,0.9942884073590583,0.8049245528613621,0.8777904627406404,0.76587048232053,0.6904974169363448,0.8423553828839995,53.96107816696167
45,1.0000000000000002e-06,0.04406943592866031,0.2237238716455846,0.9943586076970502,0.8082349338544702,0.8799985816986686,0.7685118969227737,0.6940305460443439,0.8441571805423457,54.50929141044617
46,1.0000000000000002e-06,0.04377678655228525,0.2287366199337579,0.9943011395304515,0.8055393467916068,0.8766519926429298,0.7675860777137234,0.6909771461658726,0.8426016961695652,52.382442235946655
47,1.0000000000000002e-06,0.04385187439025746,0.22518478733262207,0.994348203977235,0.807421548607045,0.8814637139039377,0.7663588512597492,0.6934277827255382,0.8438507903108368,51.35150647163391
48,1.0000000000000002e-06,0.04374854441824084,0.22737590666689905,0.9943145652831656,0.8051862858654126,0.8815819301987249,0.7630276332742479,0.6907515732631058,0.8424959219351198,51.76730990409851
49,1.0000000000000002e-06,0.04339040856921967,0.22826813093197892,0.9943158038212389,0.8054895763907303,0.8816959567979508,0.7638486394943812,0.6911057460793191,0.8426736108362807,53.44462513923645
50,1.0000000000000002e-06,0.04351417982007319,0.22900417856141633,0.9942642806373915,0.8032300278522799,0.878849027779194,0.7619825002256568,0.6883207848190634,0.8412552013675553,54.209125995635986
51,1.0000000000000002e-07,0.043433118541285676,0.22974591122733223,0.9942740898589316,0.8033342321798119,0.8823509609592959,0.7597164443628058,0.6885960926274639,0.8413979577172749,52.17641472816467
52,1.0000000000000002e-07,0.043114730079911096,0.22755908420662474,0.9943119395824501,0.8050339587201125,0.8777916738952943,0.765538372065921,0.6904761651855145,0.8423568753067853,54.443663358688354
53,1.0000000000000002e-07,0.043126918494441856,0.22714533447440155,0.9943189744787062,0.8064249174395602,0.8801706503094832,0.7654012745340688,0.6917174862525947,0.8429808563140727,50.73815846443176
54,1.0000000000000002e-07,0.04323056249383226,0.22910186823676615,0.9942970771255711,0.8046368541551071,0.8803758347196989,0.7630861123601371,0.6900384342133274,0.8421305691909516,55.33792209625244
55,1.0000000000000002e-07,0.04338299008343147,0.2270110444305769,0.9943492938907393,0.806952363002501,0.8826630915133891,0.7644524507429898,0.6927664156358349,0.8435208294527007,54.63385510444641
